text,y
강철중 같은 대사발을 기대하면,3
필시 실망할 듯..,0
재미없다는 건 아니고,3
액션이 괜찮았기 때문에,3
중박 정도라고 생각한다.,2
그야말로 딱 중간 정도..,2
확실히 송강호가 왜 맨 첫번째로 이름이 나왔는지 알 거 같았다.,4
분명 나이순은 아닌 것 같다. -_-;,1
그 중간이라는 게 아쉬운 거지..,1
칭찬하고 싶은 건 영화 음악.,3
꽤 호쾌한 느낌을 줬다.,4
총소리도 실감나고..,3
디테일은 확실히 훌륭했다.,4
미술적인 면도 나쁘지 않았어.,3
셔츠가 너무 깨끗하고 잘 다려져 있는 게 보여서 약간 거슬렸을 뿐. ㅋㅋ,0
저팔계 같은 `이상한 놈`의 모습.,2
모습이 자꾸 오버랩 되네.,2
다른 부가 기능은 참 훌륭한데..,4
미치겠네.,0
아.. 진짜 기계 사겠나.,1
나원참..,1
처음부터 끝까지 안젤리나 졸리를 위해 만들어졌다.,2
진짜 감동했다.,4
뻔뻔스러움도 이 정도가 되면 존경을 받을 수 있구나.,3
어찌나 멋진지..,4
저 정도 포스는 아무나 흉내낸다고 따라할 수 있는 게 아니다.,3
"미모, 능력, 연륜과 자신감이 하나가 되어야 나올 수 있지.",3
팔은 너무 말라보여서 안쓰러웠지만,0
벗은 몸은 좀 놀라웠다.,3
말랐는데도 불구하고.. 흠.,3
아무나 배우하는 거 아닌가벼.,3
우아한 총질이,3
멋졌지만,3
이번에는 더욱 강력해졌다.,4
고난위도 허리꺾기!!,4
여름 영화는 이래야지.,3
줄거리가 좀 묘하지만..,1
나쁘지 않다.,3
갑자기 깨는 몇몇 장면도 웃기고,3
좋더만.,3
입술은 마치 살아있는 거 같아서,3
움찔했다.,2
후후후.. 비싼 돈 주고 본 보람이 있군.,4
대박일세.,4
느무 좋다!!,4
이런 젠장..,1
이게 에러다..,1
무진장 곤란하다.,0
굉장히 편리한 기능이라,4
포기할 수 없다.,3
진짜 인터넷숍에서 반품 받은 걸 파는 건 아니겠지??,1
그렇다고 백화점에서 똑같은 걸 5만원 더 주고 사기도 싫고.,1
전자사전 기능은 훌륭한데,4
이런 게 고장이 없어야지.. ㅜ ㅜ ㅜ ㅜ ㅜ,0
내일 다른 건 이상없나 살펴봐야겠다.,2
"만화책 보는 건 오케이,",3
녹음도 잘 되고..,3
좀처럼 사용할 일 없을 거 같지만,1
아.. 감동.,4
감사합니다.,3
숫자도 짱 크다.,4
포스가 느껴진다..,3
다 마음에 드는데,3
분침 넘어가는 건 상당히 부드러운데,4
시간이 바뀔 때는 좀 소리가 난다.,1
책상 위에 놓고 보고 싶다.,3
경각효과가 상당할 듯. ^^,4
확실히 시간 가는 줄 모르게,4
재밌더군.,3
행동은 이해가 가지 않았다.,1
왜 안 나오는 용의자를 확인하러 가지 않았을까.,1
상식적으로 이해가 안 갔다.,1
해피엔딩을 원했지만,3
잔인하더군.,0
진짜 이유를 모르겠다.,0
어느 것도 확실히 와닿지 않는다.,0
분명 잘해주는 여자도 있었을 거야.,2
꽤 친절했을 거 같다.,2
근데 왜 거기에 살인이 끼어드는 거지?,1
저 따위 소리를,1
웃기는 거다.,1
굉장히 파렴치하다는 느낌을 받았다.,0
보다보니 화가 났다.,1
엄청난 분노를 느낄 거 같다.,0
잘생기긴 했지만,3
어딘가 좀 흔한 얼굴이란 느낌이 든다.,1
몸도 요즘 유행하는 정석같은 체격이라..,3
처음엔 흠.. 하면서 보긴 했는데,1
마음에 들더군. ㅋㅋ,4
좋겠어!!,4
이런 걸 부러워해도 되는 건가.. =_=;,2
텔레포트야말로 좋은 능력 같다.,3
시간을 넘나드는 것도 꽤 좋은 능력이지만,4
이건 나름대로 부작용이 따를 거 같고,1
이동은 좋지 아니한가.,3
손만 잡으면 동반자까지 텔레포트되다니..,3
예상대로의 내용 전개였고,1
기대치가 낮아서인지,1
재밌게 봤다.,3
지루할 틈도 없고,3
여자주인공은 못 생겼지만,1
시크한 표정이 마음에 들었어.,3
코트에 머플러를 걸치는 센스를 발휘.,3
에로물의 주인공으로 잘 어울리 거 같은 생각이 든다.,1
"한 번 봐서는 곧 잊혀질 거 같은,",1
적당히 잘 생겼지만,3
임팩트 없는 얼굴 때문일까.,1
재밌게 봤다.,3
이게 꽤 재밌는 거다!! -_-;;,4
목소리도 꽤 착착 감기고.,4
특히 이 목소리.. 정말 뽕필에 딱이었던 것이야!,4
ost `이차선 다리`는,4
그 애절함..,4
가사도 느무 슬픈 거라.,4
"아, 들을수록 느무 좋다. -_-;;",4
역시 트롯버젼의 애절함은 따라갈 수 없지.,4
의상도 너무 취향이다..,4
그 지겨운,1
복수극!! 아닌가.,3
약간 당황.,1
아.. 이런 영화였지..,2
어둡고,1
비현실적인 색감.,1
검은색과 다크블루를 마구 섞어서 하늘과 바닥에 뿌려놓은 거 같다.,1
잔혹하고,3
분노에 넘쳤다.,4
이런 분노 이해해.,3
만만치 않고,3
목소리가 너무 그럴싸한 거 아닌가.,4
왕창 늙긴 했지만,0
다리도 굵고,3
허벅지도 탄탄하고,3
금색 쫄바지가 잘 어울렸다.,4
계속 보긴 힘들지만.. ㅋㅋ,0
햐~ 정말 좋을 거야.,4
입주변이 정말 이쁘다.,4
여자보다 더 이쁜 거 같다.,4
입술이 매력 포인트.,3
듣기 좋은 목소리로,3
원하는대로 화끈하게 다 죽여줬으니,4
영화 값은 아깝지 않았다.,3
분장도 너무 잘 어울려서,4
무서울 정도였고..,3
저렇게 다크서클이 어울릴 수가..,4
헤어도 그렇고.,3
가늘가늘한 몸도 너무 좋은 거다. -_-;,4
노래를 부르던 청바지를,3
드디어 샀다.,3
눈물이 앞을 가린다.,4
잘한 거 같아.,3
어차피 진이 다 거기서 거기지 뭐..,1
만족을 못 하는 거야!!,1
결코 싸지 않지만,1
왜 이렇게 불편한지,0
내 체형에는 잘 맞지 않는 거 같다.,1
"스판이 안 들어간 것은 너무 뻣뻣하고,",1
스판이 들어간 건 좀 더 낫지만,3
뒷태를 비롯 어딘가 이쁘지가 않다.,1
면이 부드러운 것도 게중 있는 한데,3
가장 낫지만,4
날이 갈수록 심각하게 비싸지고 있어서,0
가격인하 상품 아니면 좀 난하다.,1
면이 진짜 부드럽고,4
착용감이 아주 좋았다.,4
이것처럼 편한 것도 없을 듯.,3
얇은 듯해서,1
겨울에 입을 수 있을까 걱정하니,1
스펙타클한 영상과,3
시나리오를 탄탄하게 보강한 것이,4
취향에 딱 맞아,3
대만족.,4
1933년판 킹콩은 2005년판 킹콩과 거의 흡사하다.,2
실제로 1930년대였다는 것과 스톱모션 애니메이션을 사용했다는 것이 재미를 줬다.,3
그런 옛날에 이정도 수준의 영화를 만들었다는 것은 놀라움 그 자체.,4
조악하지만,1
나름대로 스펙타클한 영상이라 생각했다.,3
당시 사람이 되어서 보면 더욱 즐겁다.,4
생각보다 훨씬 재미있어서 의외.,4
``사랑에 죽었다``라고 바뀐 것도 인상적이다.,3
어린 시절 재미있게 봤던,3
생각보다는 좀 아쉬웠다.,1
제법 그럴듯한 분장과 합성을 보여준다.,4
킹콩이나 해골섬에 대한 신비가 대폭 낮아졌고,0
단순히 `거대한 동물` 정도의 수준이 된다.,1
여전히 생각없어 보이지만,0
실제 촬영지는 그다지 나무나 숲이 보이지 않는 장소임이 아쉽다.,1
그래도 재밌다고 할 수 있지만,3
너무 잘만들어서,4
상대적으로 초라해보이게 되어버린 듯 싶다.,1
그렇게 재미있었는데 말이다.,4
"여주인공의 옷차림이나 옷벗기는 장면, 입김 부는 장면은 생각보다 에로틱.",3
여성의 인권문제가 민감해진 것 때문이려나.,2
다시 보고 싶은데...,3
그냥 그럭저럭 볼만한,3
그냥 그럭저럭 볼만한,3
나쁘진 않다.,3
진지한 내용임에도 불구하고,3
연출은 좀 장난스럽다.,1
유치함의 극치를,0
영화와 안어울리는,1
이 어색한 연출들은,1
정말이지 아니라고 본다.,0
전혀 안어울린다는 것이다.,0
징그러운 연기를,1
그다지 웃을만한 장면도 없다.,1
뒷맛이 그다지 좋지는 않다.,1
스토리 자체는 그다지 대단한 점은 없다.,1
꽤나 평이하다고나 할까.,2
서부극의 특성을 많이 따온 편.,2
가장 큰 특징은 역시 영화적인 볼거리.,3
"카메라의 앵글이나 장면 연출, 표현 등이 꽤나 화려하거나",4
재미있게 흘러간다.,3
그야말로 영화다운 연출 투성이.,4
잘싸우고,3
멋진 `서부의 사나이` 느낌의,3
틈틈히 웃음을 주는,3
즐거움을 준다.,3
`악역`다운 이미지의,2
괜찮았다.,3
곡도 꽤나 영화와 잘 어울려,4
듣기 좋았다.,3
머릿속에서 멜로디가 계속 울렸다.,3
철저한 오락영화다.,2
`머리 쓰고 입으로 말할` 영화는 아닌 것이다.,2
오락영화로써 훌륭하게 만들어진,4
화려한 연출로,3
보는 즐거움도 많고,4
적절한 유머도,3
좋다.,3
편하고,3
즐겁게 감상하기에 적절한,4
`영화다운 영화`.,3
"귀엽고,",3
"웃기고,",3
"재미있고,",3
감동적이며,4
다시 한번 생각하게 만드는 요소도 있는,3
명작 3D 애니메이션.,4
전부 재미있다.,3
이쪽 분야의 프로페셔널이라고 할 수 있는,3
디즈니스러운 느낌보다는 픽사스럽다고 할 수 있겠다.,2
상당히 잘 만들어진 작품,4
3D 기술적인 측면에서도 훌륭하고,4
뭐 하나 흠잡을 것 없이,4
완벽한 애니메이션이다,4
후반부는 감동의 클라이막스가 기다리고 있다.,4
묘사가 훌륭한 애니메이션이다.,4
귀여움 만점!,4
코믹하고,3
박진감 넘친다.,4
움직임들도 만점.,4
특히 재미있다.,4
재미있다.,3
그 점이 영화의 가장 큰 포인트.,4
꿈과 희망이 있고,3
감동이 있는,4
좋은 애니메이션이다.,3
몰입도가 꽤 높아서인지,4
후반의 슬픈 전개와,3
감동적인 결말에서는,4
개도 울고 어린이도 울고 어른도 울었다.,3
관객들 중 꽤 많은 사람들이 눈물을 흘린 듯 싶다.,4
꽤 감동적으로,4
잘 만든 애니메이션이다.,3
온 가족이 보기에도 최고고,4
연인끼리 보기에도 최고.,4
친구들끼리 가서 보기에도 최고인,4
강력추천 애니메이션이다.,4
속편이 제작될 수 있는 여지도,3
충분히 있다.,3
끝까지 기다려준 사람들에게만 보여주는게 좋을 듯 싶다.,2
대결은 예상치 못해서 재밌었다.,3
그다지 무서워 보이지 않지만,1
연출로 긴장감을 준다.,3
소리로 공포를 주는,3
사운드 호러라고 해야할까.,2
그다지 무섭진 않았을지도 모르지만,1
꽤나 긴장감 만점.,4
러닝타임은 85분으로 비교적 짧은 편.,2
제대로 표현하고 있기는 하니 나쁘진 않은 듯 싶다.,3
긴장감을 주는 분위기와,3
소리로 공포감을 주는,3
그럭저럭 볼만했다.,3
오리지널 스토리로 즐길만하다.,3
일본영화 특유의 장면연출이나 개그가 묻어나오는,2
생각보다 꽤,3
기회가 되는대로 극장에서,3
극장 사운드로,4
공감대를,3
더욱 재밌게 볼 수 있게 해준다.,4
그럭저럭 재밌게 볼만한 학원물이었다.,3
CG나 전체적인 내용은,3
연출이 지루했던,1
오락성도 높아지고,3
원작을 중시하는,4
드라마판과 원작 만화책판을 떠오르게,3
화려한 삶과,3
유머러스한,3
암울할 수 밖에,0
분위기도 좀 더 무겁다.,0
비참하기 그지 없다.,0
불쌍한 신세.,1
적절히 유머가,3
역시 전체적인 어두움을,0
꽤나,4
그대로 영화에서 쓰는 것들이 즐거웠지만...,3
후반부의 액션은 짧지만,1
클라이막스를 장식하기엔 충분.,3
역시 헐크라면 이런식으로 싸워야지...하는 느낌을,3
충분히 영상화 했다.,3
화려함 그 자체.,4
그 거대함과,3
파괴력 넘치는 장면들은,4
커다란 스크린에서 봐야지만 제맛이었다.,3
나름 감동이라면 감동.,3
어떤 배역이 될지 기대된다.,3
안타까움을,1
영화 내내 안타까운 장면만 보여주다가,3
엔딩까지 안타까우니,3
그야말로 슬픈,3
러닝타임은 1시간 50분으로 좀 긴 편이고,1
조금 지루할 수도 있겠다.,1
나쁘진 않다고 생각.,3
현재의 삶도 행복하게 느껴지고,3
여유가 생길 것이다.,3
동물적인 움직임으로 화려하게 보여주는건,3
꽤나 시각적인 즐거움을 준다.,4
스승이 남기는 `교훈` 또한 빠질 수 없는 요소.,2
완벽하게 깔끔한 기-승-전-결의 스토리와,4
최고의 절묘한 연출과,4
많은 볼거리를 제공하는,4
영상미.,3
그야말로 완벽한 애니메이션이다.,4
"현란한 2D 애니메이션,",4
영상미가,3
"돋보이는 3D 애니메이션,",3
멋진 장면.,3
"배경 하나하나와 구도, 카메라 앵글 또한 예술이다.",4
지루하지 않게,3
감각적이고,3
재밌는 그림으로 가득한 엔딩크레딧이,4
그다지 길진 않지만,2
나름 의미있는 영상이다.,3
"스토리는 물론 장면묘사나 위트와 유머, 각종 연출도",4
재밌게 볼 수 있게,3
명작이다.,4
별 다섯개중에 열개를 주고 싶은 작품.,4
웃음을 제공해준다.,3
반가웠다.,3
"재밌고,",3
웃긴다.,3
자연스럽게 웃기기도 하고,3
억지스럽게 웃기기도 하지만,1
웃겨준다.,3
기분이 좋아질 것 같은,3
키스씬은 압권이었다.,4
최고의 무술액션영화.,4
스토리는 지극히,1
특별할 것 없지만,1
엄청나게,4
화려한,3
영화적인 연출을,3
많은 볼거리를 제공해주는,4
무에타이의 진수를,4
견자단은 MMA,4
화려하면서도,3
긴박감 넘치는 무술대결은,4
눈을,4
수퍼히어로,4
재밌게 볼 수 있을 것이다.,3
올해 최고의 액션영화라고,4
확신할 수 있다.,3
그중 `공포`로 가장 뛰어난 것은 태국의 영화들이었다.,4
참신한 설정과,3
적시적절한 공포연출로,3
좀 더 예쁘고,4
몸매가 좋다.,3
제법 괜찮았다.,3
청각적/시각적 효과가 제법 좋아서,3
깜짝깜짝 놀라게 하는,3
원작보다 못한 면도 없었고,3
시각적인 면에서는 원작 이상.,3
극장가서 `디아이` 볼 것을 추천.,3
정답이면 정답이라 할 수 있겠다.,2
어쩌면 이 영화의 원래 제목은 `물안개` 였을지도.,2
코믹하게 표현되었다.,3
그럭저럭 무난하고,3
볼만한 편이다.,3
주역배우들이 나이가 드는 것 또한 자연스럽다.,3
예상 가능한 이야기.,2
이상하진 않다.,2
관객들이 기대하는 ``인디아나존스`를 확실히 보여준다.,4
수퍼맨 아닌 수퍼맨,3
상쾌하고,3
통쾌한 오락영화,3
80년대 최고의,4
반가운 일이다.,3
수퍼히어로,4
죽지 않았다.,3
`인디아나존스`는 죽을 때까지 `인디아나존스`니까.,3
전형적인 이야기.,1
내용 자체는 지극히 전형적이다.,0
똑같은 내용.,1
전형적인 내용임에도,1
화려한 댄스들로,3
수많은 볼거리를 제공했다면,4
다양하고,3
화려한 격투를 보여준다.,3
소년 만화에서 자주 나오는 컨셉.,2
지루하지 않게 이야기가 진행된다.,3
격투씬에 신경쓴 만큼,3
격투장면들이 볼만한 편.,3
그럭저럭 재밌게 볼 수 있는,3
꽤나 즐거울 것이다.,4
긴 제목을 줄이면서 내용을 포함시키려고 한 듯.,2
영화의 느낌이 크게 와닿지 않는건 마찬가지.,1
뭔가 적합한 제목이 없었으려나.,1
홍보문구처럼 `화려한` 면은 나오지 않고,1
구질구질하고,1
더러운 인생만 잔뜩 보여준다.,0
내용도 없고,1
감동도 없고,1
화려함도 없고,1
재미도 없고...,1
여자 관객들조차,0
절대 보지 말 것을 권유한다.,0
기분만 더러워지는,1
최악의,0
재밌었다.,3
세세한 이야기의 차이는 있겠지만,2
비교적 원작에 충실하게 만들어진 듯 싶다.,2
`롤링스톤즈`가 언급된 것도 재미있다.,3
특수효과 만점.,4
즐겁게,3
멋진 연출이 가득하다.,4
이야기의 전개는,3
기대하고 볼 수 있게.,3
적절히 유머러스하게 전개되어,4
부담없이 즐겁게 볼 수 있다.,4
정말 재밌게 본 히어로영화였다.,4
말도 안되는,1
황당한 장면이지만,1
엄연히,2
심지어는 환상의 분수쇼까지.,4
뭔가 그럴듯하면서도,3
황당한 센스가 돋보이는 장면이 가득하다.,4
그다지 야하지는 않다.,1
심지어는 정사씬조차도 야하지 않고,0
음악과 판소리에 어우러져,3
코믹하게 전개된다.,3
만화같은,3
"황당한 장면연출이 가득,",0
그런 장면들이,1
재밌게,3
웃을 수 있는,3
한국영화계에 한 획을,4
특이하고,3
재밌는 코믹영화다.,3
크게 기대하지 않고 본,1
정말 재밌게 봤다.,4
꽤나 인상깊어 보게 되었다.,4
전형적인 헐리우드 액션 타입의,2
이런 전형성이 `통쾌감`을 주는 것은 왜일까.,3
전형성에서 탈피한답시고,1
뒷맛이 찝찝한 배드엔딩의,1
암울함만 가득 주고,0
희망은 하나 없이,0
불쾌감만 가득 안게 되는 배드엔딩은,0
이제 지겨울 정도다.,1
너무 뻔한,0
실컷 강간당한 뒤 시체로 발견되야 더 좋은 영화인가?,2
해피엔딩을 기대하며,3
"이런 전형성,",3
`영화다운` 재미는,3
즐거움 그 자체다.,4
잘 만들어졌고,3
재미있게 볼 수 있는,3
수작,3
쉬지 않고 진행되는,3
짜임새 있는 장면의 연속에,3
스크린에서 눈을 뗄 수 없는,4
오늘의 교훈. ``딸들은 아빠 말 잘 듣자``.,2
1대 다수의 전투는 영화의 백미.,4
모델로 한 듯.,2
CG가 아니라 실제 사람들이라는 것이 역시나 중국영화의,3
적절히 들어가는 무협물적인 액션들도,3
볼만하다.,3
무슨 내용인지 알 수 없어 문제가 되지 않을까 우려했으나,1
삼국지를 모르는 사람이 봐도 아무 상관없다.,3
엉터리라는 식으로 이야기를 듣는 편.,1
"장대한 전투씬,",3
"더욱 박진감 넘치게 연출했다는 전투,",4
화려한 무협액션.,3
볼만하다.,3
이야기를 진행했다는 것도 참신한 점.,3
그럭저럭 높은 점수를 줄만한,3
연출이 임펙트가 적은 편이다.,1
그 공포스러운 묘사가 적다.,1
별로 리얼리티가 느껴지지 않는게,1
의도적으로 덜 잔인해 보이게 하려고 했는지도.,2
어메리칸조크가 느껴지게,3
여유롭고,3
코믹한 편이다.,3
그렇게 놀랍지는 않다.,1
흐름은 잔잔하면서도,2
평이하게 흘러가고,2
"음모가 드러나는 것도 자연스럽게,",3
이해하기 쉽게끔 흘러간다.,3
친절한 영화라고 할까.,3
"뭔가 큰 반전이나 큰 감동, 큰 공포나 충격은 없다.",1
굉장히 `평범`한,2
그냥 볼만하긴 하지만,3
추천하긴 부족.,1
중요한 교훈을 준다.,2
``엄마 말 잘 들어서 나쁠 것은 없다.``,2
상당히 뻔한 내용.,0
한편의 뮤직비디오처럼,3
멋진,3
힙합뮤지컬이라 보면 좋을 듯.,2
멋진 춤을 추고,3
여럿이서 어우러져,3
현란하면서도,3
통일감 있는,3
춤을 멋지게 보여준다.,3
재미있는,3
별로일지도.,1
멋진 춤들로,3
눈요기를 하는,3
화려한 안무들과,3
화려한 브레이킹이,3
볼만하다.,3
파격적인 내용이었다.,2
각각의 특색이 있었다.,3
특이한 내용.,2
화려한 액션물.,3
다른 점이 많다.,2
가장 개성이 강한 것은 역시,4
노력한 흔적이 많이 보인다.,3
일당 100의 전투력을 보여줬다.,2
그정도로 강하진 않다.,1
나름 리얼리티를 높이려고 했는지,2
적절히 역할이 분담되어,3
사람이 죽는 광경이 리얼해졌다.,3
그다지 실감이,1
``억``하고 쓰러지는게 고작이었다.,1
너무나 실감스럽게 만들어져서,2
보기에 힘들런지도 모르겠다.,1
스토리는 꽤나 일치한다.,2
꽤나 우리나라의 해외선교단들이 하는 짓과 일치한다.,2
개신교도들과 똑같은 꼬락서니다.,1
간접적으로 나마 보여주고 있는 것이 특징적이다.,2
시리즈를 마감하는 것 같은 느낌으로,2
"람보 역을 하는 것은 마땅치 않고,",1
너무 나이가 들어버렸다.,0
조금 아쉽지만,1
나쁘지 않은지도.,3
그럭저럭 재밌게 볼만한 편.,3
실제로 있었던 일과 가상의 일을 적절히 잘 조화했다.,4
연출도 그럭저럭 괜찮았다.,3
"무난하게 스토리가 흐르고,",2
아무래도 실존인물의 삶에 살을 붙인 것이기,2
그럭저럭 잘 만든,3
연인끼리 평범하게 보러가기 좋을 듯한,3
스토리텔링이 좋다.,3
"연출이나 각본, 음악 자체도 흠잡을 곳 없다.",4
`좋은 영화`라고 말할 수 있는 작품.,3
문제는 이런식으로 원작의 인기를 이용하여 억지로 만든,1
완성도가 형편없이 떨어진다는 점.,0
배역이 미스캐스팅인 것을,1
나머지 배역은 그럭저럭 괜찮았고,3
스토리들도 그럭저럭 볼만해서,3
좋았다.,3
L이 승리하는 것이 압권.,4
딴지 걸 것이 너무 많아서,0
뭐부터 욕해야할지 모를 정도다.,0
"시나리오, 연출, 각본, 대사 모두 최악이다.",0
애초에 각본부터가,1
뭔가 일관성 없이 엇갈려있고,1
엉망진창.,0
대체 어쩌자는건지?,0
활동범위도 원작의 L에 비해 굉장히 협소하고,0
그다지,1
카리스마는 다 어디에?,1
이야기 전개도 그렇지만,1
캐릭터성도 문제.,1
괜찮았는데,3
칼들고 설치는,1
성격이나 행동은 뭔가 뒤틀려져 있다.,1
급변하는,2
칼들고 설치는,1
배틀로얄에서 빼온 것 같은 살인광이람.,0
영화 분위기와 전혀,0
연출이 너무 제멋대로고 어긋나있어서,0
화가 날 지경.,1
데스노트 영화판은 나름 볼만했다만,3
이 오리지널 스토리는 최악.,0
돈주고 보면 아까울 정도의,1
졸작이다.,0
찰리윌슨의 전쟁 다음으로 가장 재미없게 본,0
"배역은 좋았고,",3
배역도 좋았다.,3
노랑곱슬머리의 창백하고 귀여운 백인소년이래야,2
뜬금없이 태국초딩이라니...,1
안타까운 일이다.,1
연기보는 맛으로만 보면 괜찮을런지도.,3
나머진 전부 최악.,0
대단한 것은 없긴 하지만.,1
거의 다큐멘터리.,1
"난관이나 극적인 상황, 감동이 전혀 없다.",0
`재미없다`.,1
무겁지 않고,3
"가볍게,",3
보기 편하게 표현했다.,3
액션도 적절했고,3
"틈틈히 보여주는 위트와 유머,",3
"가끔씩 무거운 주제,",1
안좋은 상황을 보기 좋게,3
풀어나가는 과정이 좋았다.,3
이야기 진행도 매끄럽고,3
갈등이나 상황을 풀어나가는 과정도 깔끔.,3
코믹한 독립군 두명을,3
불안불안했으나,0
극적인 상황에서도,3
끝까지 그 분위기를 유지해줬다.,3
가벼운,2
가볍고,3
센스있게 풀어나간다.,3
화려한 공연 장면.,3
겉멋 가득한 말과 행동.,0
대전게임을 연상시키는 액션.,2
스타일리쉬하고,3
센스있게 묘사했다.,3
영화의 참맛이란 이런 비쥬얼과 연출이겠지.,4
그다지 기대하진 않았지만,1
솔직하게 `재밌었다`.,3
막 엄청난 대작이라고는 못하겠지만,1
한국영화 특유의 암적인 부분이 없는,3
깔끔한,3
"스토리텔링, 연출, 액션, 개그 모두 깔끔했다.",3
대체로 괜찮은 편인데...,3
내용은 나쁘지는 않지만,3
그다지 좋지도 않은 것이,1
`보통`.,2
임펙트도 없고,1
현란한 촬영이나,4
엄청난 액션은 전혀 없지만,0
그럭저럭 `정도`에 따르고 있다.,3
가장 특이한 점은 무대가 학교라는 것.,4
미국 고등학교의 암울한 부분을 보여준다는 점이다.,1
`귀여운 애니메이션`.,3
귀여운,3
눈을 뗄 수 없었다.,4
멋진 음악.,3
히사이시 조의 음악이 첫장면부터 분위기를 압도했다.,4
웅장하면서도,3
아름다운 오케스트라 음악은,3
그야말로 환상적.,4
정성가득한 수작업에 의한,4
영상미.,3
첫장면부터 깜짝놀랬다.,4
그야말로 볼거리 가득.,4
생명감 넘치는 영상을 보여준다.,4
얼마나 많은 생명체들이 살아숨쉬고 있는 것일까.,2
결코 CG로는 흉내낼 수 없는 강렬한,4
감동을 안겨줬다.,4
스토리 자체는 그렇게 대단치 않다.,1
인어공주 이야기가 떠오르기도 한다.,2
허무할 정도로 쉽게 해피엔딩이 되어버리는 것이,1
좀 당혹스러운 편.,1
그냥 어린이용 잘만들어진 동화라고 치면,3
깔끔하다고 해야할지도.,3
스토리야 평이하고,2
임펙트 없긴 하지만,1
어린이 눈높이에서도 보기좋은,3
엔딩주제가도 `이웃의 토토로` 엔딩 주제가 ``도나리노 토 토로 토 토로~♪`` 이후로 가장 임펙트 있어서,4
더 귀엽지만 말이다.,4
귀여운 스탭롤,3
귀여운 스탭롤이 떠오른다.,2
"특이하다고 느꼈던 것은 소스케가 자신의 아빠를 `코우이치`, 엄마를 `리사`라고 부른다.",2
부모님의 이름을 직접 부르는게 특이했다.,2
자막 자체는 의역이 적절한 편이라서,3
괜찮은 편이었던 것 같다.,3
가장 우려했던 `츠나미(つなみ)`를,0
제대로 번역해줘서,3
다행.,3
`해일`이라는 명사까지도 `쓰나미`라고 그냥 써버릴까봐 내심 걱정했었다.,1
인간이 아닌 자가 되는데 성공한 듯 싶다.,2
변태처럼 보이기까지 한다.,1
크고,3
강해보인다.,3
"아아, 가련한 여인이다.",1
훌륭한 연애스토리가 성립한다.,4
"포뇨가 인간이 되어 바다의 힘을 쓰게 되면, 둘의 사랑이 맺어지지 않는 이상 달이 지구에 다가와 충돌해서 세상이 멸망하나보다.",2
굉장히 단순한 것처럼 보이지만,0
볼거리가 가득하고,4
이야기거리가 가득한,4
즐거운 애니메이션이었다.,3
또 봐야겠다.,3
